Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn)
Sola;SN44560;09.08.2025;9,9
Sola;SN44560;10.08.2025;6,9
Sola;SN44560;11.08.2025;6,8
Sola;SN44560;12.08.2025;7,9
Sola;SN44560;13.08.2025;6,4
Sola;SN44560;14.08.2025;10,2
Sola;SN44560;15.08.2025;9,8
Sola;SN44560;16.08.2025;10,1
Sola;SN44560;17.08.2025;8,7
Sola;SN44560;18.08.2025;7,5
Sola;SN44560;19.08.2025;9,5
Sola;SN44560;20.08.2025;5,3
Data er gyldig per 20.08.2025 (CC BY 4.0), Meteorologisk institutt (MET);;;
